Name,Description,Model,Predictions
WGS of 8 Patient Isolates from Peru,Whole genome sequencing of 8 Plasmodium vivax isolates from pateints in Peru.,gpt-3.5-turbo,"Environmental sciences    Infectious disease    Genetics
"
"State-wide mosquito surveillance in Iowa, USA, 2006 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000383)",gpt-3.5-turbo,"Genomics  	Proteomics  	Microbiology
"
<i>Blechomonas ayalai</i> B08-376 Genome Sequence and Annotation,Blechomonas ayalai  B08-376 Sequence and Annotation,gpt-3.5-turbo,"Genomics   Bioinformatics   Microbiology
"
Intraerythrocytic developmental cycle by RNA-Seq,Seven time points in the P. falciparum intraerythrocytic developmental cycle were analyzed by RNA-Seq.,gpt-3.5-turbo,"Bioinformatics	Genomics	Taxonomy
"
<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 Genome Sequence and Annotation,Leishmania braziliensis M2904 (MHOM/BR/75M2904) sequence and annotation from GeneDB.,gpt-3.5-turbo,"Transcriptomics   Parasitology   Cell biology
"
"Mosquito surveillance in Lucas County, Ohio, USA. 2018",Mosquito surveillance from the Toledo Area Sanitary District program to survey mosquito populations. (MapVEu VBP0000635),gpt-3.5-turbo,"Environmental sciences  	Genomics	Biosciences
"
<i>Toxoplasma gondii</i> CAST Genome Sequence and Annotation,Genome sequence and annotation for Toxoplasma gondii strain CAST.,gpt-3.5-turbo,"Transcriptomics\tCell biology\tData submission, annotation, and curation
"
Euryhaline vs stenohaline: larvae response to increasing salinity stress  (An. merus),Transcriptomic comparison between euryhaline and stenohaline malaria vector sibling species to increasing salinity stress.,gpt-3.5-turbo,"Proteomics	Population genetics	Microbiology
"
Response of mosquito larvae to changes in hypoxia signaling,"Mosquito larvae require a reduction in gut oxygen levels (induced hypoxia) to successfully molt between instars. In natural environments, this hypoxia is generated by the consumption of oxygen by aerobically respiring microbes in the gut. This signal activates the hypoxia inducible factor (HIF) pathway leading to expression of response genes. To identify the genes that are induced or repressed by hypoxia, we indirectly activated or suppressed hypoxia by rearing mosquitoes with aerobic, wild-type E. coli (K12) or with E. coli encoding a defective cytochrome oxidase. We directly manipulated HIF signaling using pharmacological agents that activated or suppressed HIF signaling. This work will identify genes that are essential for responding to hypoxia and necessary for successful molting in mosquitoes.",gpt-3.5-turbo,"Developmental biology     Embryology     Gene expression
"
RMgmDB - Rodent Malaria genetically modified Parasites,"The RMgmDB is a database that curates, mostly from
    literature references, genetically modified parasites for P. berghei, P. chaubadi, and P. yoelii.",gpt-3.5-turbo,"Genomics	Parasitology	Microbiology
"
Transcriptional changes during maize root infection,"Transcriptional changes during maize root infection. Root samples were taken 4, 10 and 20 dpi for RNA isolation.",gpt-3.5-turbo,"Bioinformatics  	Genomics	Annotation
"
First record of Aedes albopictus in Georgia and updated checklist of reported species,"Mosquito surveillance was carried out in Batumi, Georgia, in August 2014. Aedes albopictus was detected for the first time, which brought the number of reported mosquito species in Georgia to 32. (MapVEu VBP0000236)",gpt-3.5-turbo,"Genomics   Parasitology   Molecular biology
"
Aligned genomic sequence reads - Ghana1 and IT,"Whole genome resequencing data from  Plasmodium falciparum Ghana1 and IT were used to call SNPs 
       and determine CNV at the gene and chromosome level.",gpt-3.5-turbo,"Environmental sciences	Medicine	Public health and epidemiology
"
Transcriptional analysis of Coccidioides immitis mycelia and spherules,Analysis of gene expression changes in mycelia and young and mature spherules.,gpt-3.5-turbo,"Genomics	Sequence assembly	Computational biology
"
Transciptomic analysis of B. cinerea exposed to a bacterial biocontrol agent (secretome),"Transcriptome of B. cinerea in response to exposure to Bacillus subtilis MBI 600, a new commercialized biopesticide.",gpt-3.5-turbo,"Genomics   Annotation   Parasitology
"
Epimastigote Cell Surface Proteome (Berenice),Proteome from epimastigote cell surface isolated by trypsin or biotinylation and analyzed by LC-MS/MS.,gpt-3.5-turbo,"Genetics    Molecular biology    Parasitology
"
Proteome During an Infection in H. sapiens (Quant)(GT1 ME49 RH VEG),"T. gondii peptide sequences from 6 proteomic analyses of mixed parasite/host cell samples that were
    collected during time course infections in human foreskin fibroblasts.
    (6 time course experiments using 4 different strains of T. gondii)",gpt-3.5-turbo,"Genomics   Bioinformatics   Parasitology
"
Cimex lectularius strain:Jersey City Transcriptome or Gene expression,"RNA-Seq analysis of sensory organs of Cimex lectularius.  Collected may 14, 2008 in Jersey City, New Jersey.",gpt-3.5-turbo,"Infectious disease	Microbiology	Environmental sciences
"
Comparison of transcriptomes in quiescent and diapausing mosquitoes,"Transcriptome data from Aedes albopictus pharate larvae, collected at 11, 21 and 40 days post-oviposition and reared under diapause-inducing and non-diapause inducing photoperiods.",gpt-3.5-turbo,"Genomics 	Genome annotations 	Microbiology
"
"Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2014","Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2014. (MapVEu VBP0000394)",gpt-3.5-turbo,"Parasitology   Genomics   Sequence analysis
"
Enriched cytoskeletal and membrane fractions,Proteomes of enriched cytoskeletal and membrane fractions of C. parvum,gpt-3.5-turbo,"Genetics	Microbiology	Transcriptomics
"
Acetylcholinesterase (ace-1R) target site mutation G119S and resistance to carbamates in Anopheles gambiae (sensu lato) populations from Mali,Larvae of An. gambiae (s.l.) were collected from breeding habitats encountered in the three study sites and bioassayed with bendiocarb. (MapVEu VBP0000699),gpt-3.5-turbo,"Proteomics	Parasitology	Biology
"
"Genotyping and permethrin-resistance phenotyping of Anopheles gambiae M and S form mosquitoes from Cameroon, Ghana, Uganda and Guinea-Bissau","Samples were collected as larvae from Yaound?, Cameroon in July to August 2006, Dodowa, Ghana in October to November 2006, from houses in Tororo, Uganda in November 2008, and from houses in Antula, Guinea-Bissau in August to September 1993. The sampling protocol scaled the number of larvae taken to habitat size to reduce the possibility of sampling siblings. Indoor-resting adult females were collected by aspiration or by trapping in untreated bednets. All samples were confirmed morphologically as A. gambiae sensu lato. A PCR restriction fragment length polymorphism (RFLP) molecular diagnostic of X chromosome rDNA variation was used to determine species identity within the A. gambiae sensu lato group and A. gambiae sensu stricto molecular form (M or S).  1,826 individuals were genotyped at 1,536 loci using a microarray.  1,517 individuals from Cameroon and Ghana were also assayed for survival upon exposure to LT50 0.75% permethrin.",gpt-3.5-turbo,"Environmental sciences   Public health and epidemiology   Zoology
"
Entomological indicators of malaria transmission prior to a cluster-randomized controlled trial of a &#8216;lethal house lure&#8217; intervention in central C&#244;te d&#8217;Ivoire,"Human landing catches (HLC) were performed between November and December 2016, capturing mosquitoes indoors and outdoors between 18.00 and 08.00 h. Mosquitoes were processed for entomological indicators of malaria transmission (human biting, parity, sporozoite, and entomological inoculation rates (EIR)). Species composition and allelic frequencies of kdr-w and ace-1R mutations were also investigated within the Anopheles gambiae complex.",gpt-3.5-turbo,"Environmental sciences  	Epidemiology  	Vector biology
"
Intraerythrocytic development cycle for P. vinckei CY,Transcriptome time course during the intraerythrocytic cycle of P. vinckei CY,gpt-3.5-turbo,"Parasitology	Microbiology	Genetics
"
<i>Sporothrix brasiliensis</i> 5110 Genome Sequence and Annotation,Genome sequence and annotation for Sporothrix brasiliensis 5110.,gpt-3.5-turbo,"Genetics    Genomics    Sequence analysis
"
<i>Leptotrombidium deliense</i> UoL-UT Genome Sequence and Annotation,Genome Sequence and Annotation for Leptotrombidium deliense UoL-UT,gpt-3.5-turbo,"Genomics	Annotation	Microbiology
"
<i>Gregarina niphandrodes</i> Unknown strain Genome Sequence and Annotation,Genome Sequence and Annotation for Gregarina niphandrodes,gpt-3.5-turbo,"Microbiology	Medicine	Ecology
"
"Association between deltamethrin resistance, P. falciparum infection and the Vgsc-1014S resistance mutation in A. gambiae highlights the importance of resistance markers",WHO standard methods were used to characterize susceptibility of wild female mosquitoes to 0.05 % deltamethrin. PCR-based molecular diagnostics were used to identify mosquitoes to species and to genotype at the Vgsc-L1014S locus. ELISAs were used to detect the presence of P. falciparum sporozoites and for blood meal identification. (MapVEu VBP0000170),gpt-3.5-turbo,"Genomics   Biomarkers   Molecular biology
"
Gene Expression in the Schistosome-Transmitting Snail Biomphalaria Glabrata,"Biomphalaria glabrata exposed to varying sublethal doses of Niclosamide, the active ingredient in Molluscicide Bayluscide. Snails were exposed to 0.15 mg/L, 0.10 mg/L or 0.05 mg/L for 24 hours, control snails were unexposed to Niclosamide.",gpt-3.5-turbo,"Genomics	Annotation	Microbiology
"
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2009",Desplaines Valley Mosquito Abatement 2009. (MapVEu VBP0000521),gpt-3.5-turbo,"Transcriptomics   Parasitology   Genetics
"
Eimeria transcriptome during infection in mice (Dual RNA-Seq),Dual RNA sequencing of mice infected with Eimeria falciformis. RNA isolated from ceca from 3 to 4 sacrificed mice per time-point was sequenced and reads were aligned to E. falciformis.,gpt-3.5-turbo,"Genomics   Microbiology   Parasitology
"
"Mosquito surveillance in Lucas County, Ohio, USA. 2017",Mosquito surveillance from the Toledo Area Sanitary District program to survey mosquito populations. (MapVEu VBP0000319),gpt-3.5-turbo,"Environmental sciences
"
<i>Hamiltosporidium tvaerminnensis</i> OER-3-3 Genome Sequence,Genome sequence of Hamiltosporidium tvaerminnensis OER-3-3,gpt-3.5-turbo,"Microbiology
"
"Mosquito surveillance in Orange County, Florida, USA. 2017",Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000262),gpt-3.5-turbo,"Infectious disease
"
Musca domestica Transcriptome or Gene expression,We selected four early stages of M. domestica embryogenesis and collected 100 embryos from each one. Messenger RNA was isolated from each sample. An equal mRNA mass of each sample were pooled and used for sequencing.,gpt-3.5-turbo,"Genomics   Annotation   DNA
"
The Cryptococcus neoformans transcriptome at the site of human meningitis (paired-end data),The Cryptococcus neoformans transcriptome at the site of human meningitis.,gpt-3.5-turbo,"Genomics   Transcriptomics   Parasitology
"
Global translational landscape of the Candida albicans morphological transition (ribo),Global translational landscape of the Candida albicans morphological transition,gpt-3.5-turbo,"Genomics	Sequence analysis	Parasitology
"
Transcription factor binding sites,P. falciparum Trans-factor binding sites determined by protein binding microarray,gpt-3.5-turbo,"Environmental Sciences	Zoology	Microbiology
"
<i>Anopheles dirus</i> WRAIR2 Genome Sequence and Annotation,Genome Sequence and Annotation for Anopheles dirus WRAIR2,gpt-3.5-turbo,"Genomics  	Microbiology	Parasitology
"
<i>Dictyocoela roeselum</i> Ou19 Genome Sequence and Annotation,Genome Sequence and Annotation of Dictyocoela roeselum Ou19,gpt-3.5-turbo,"Transcriptomics   	Microbiology   	Environmental sciences
"
<i>Leishmania donovani</i> strain BHU 1220 Genome Sequence,Genomic Sequence of Leishmania donovani BHU 1220,gpt-3.5-turbo,"Animal study    Genetics    Molecular biology
"
Transcriptomes of T. brucei culture-derived slender/stumpy bloodstream  and early/late procyclic forms,"RNA-Seq analysis was performed on defined cultures of slender bloodstream forms, stumpy bloodstream forms and early and late procyclic forms.",gpt-3.5-turbo,"Genetics    Molecular biology    Parasitology
"
<i>Theileria parva</i> strain Muguga Genome Sequence and Annotation,Theileria parva Muguga sequence and annotation,gpt-3.5-turbo,"Transcriptomics	Time series analysis	Data acquisition
"
GPL9246 - OXFORD Anopheles gambiae Agilent 13k v1,"Custom-commercial Anopheles gambiae array from Agilent, containing 60-mer probes designed against 13k transcripts from the AgamP3.4 gene build.",gpt-3.5-turbo,"Entomology   Environmental sciences   Infectious disease
"
Invasion pathway knockouts,"Microarray analysis of P. falciparum wild type and knockout mutants that are deficient in the sialic 
      acid-dependent ligands necessary for parasite invasion pathways into human erythrocytes.",gpt-3.5-turbo,"Genomics	Copy number variation	Sequence analysis
"
Whole genome sequences of C. parvum isolates from stool samples (C. parvum aligned),"Whole genome sequence of seven Cryptosporidium parvum isolates directly from stool samples without 
    the intermediate step of propagation of oocysts in animals or whole genome amplification",gpt-3.5-turbo,"Transcriptomics	Taxonomy	Microbiology
"
"Mosquito surveillance in City of Suffolk, Virginia, USA. 23434, 2017",Mosquito surveillance from City of Suffolk Mosquito Control 2017. (MapVEu VBP0000549),gpt-3.5-turbo,"Transcriptomics   Computational biology    Biological science
"
"Mosquito surveillance in Orange County, Florida, USA. 2020",Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000730),gpt-3.5-turbo,"Proteomics  	Cell biology  	Biology
"
Three Isogenic Lines w/ CQ Treatment: expression profiles,"Chloroquine induced changes in gene expression were assayed by microarray in 
      three isogenic clones that have differing drug resistance profiles.",gpt-3.5-turbo,"Proteomics     Infectious disease     Genetics
"
<i>Plasmodium knowlesi</i> strain Malayan Strain Pk1 A Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium knowlesi strain Malayan Strain Pk1 A,gpt-3.5-turbo,"Genomics    Transcriptomics    Animal study
"
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1999",Desplaines Valley Mosquito Abatement 1999. (MapVEu VBP0000509),gpt-3.5-turbo,"Transcriptomics  	Biology  	Animal study
"
Aligned genomic sequence reads - RH Strain,"Whole genome resequencing data from Toxoplasma gondii RH strain were used to call SNPs 
       and determine CNV at the gene and chromosome level.",gpt-3.5-turbo,"Infectious disease	Public health and epidemiology	Entomology
"
RNA-seq of Botrytis cinerea isolates from Spain and Italy,Sequencing of total RNA of Botrytis cinerea isolates from Italy and Spain.,gpt-3.5-turbo,"Cell biology    Proteomics    Membrane and lipoproteins
"
Antenal transcriptome nyphms vs adult males vs adult female,"Antenal transcriptome of 21-day-old 5th instar male and female larvae/nymphs and 21-day-old female and male adults. Insects were sorted by sex at 5th instar, kept virgin and unfed, when antennae were excised.",gpt-3.5-turbo,"Entomology	Zoology	Genetics
"
"State-wide mosquito surveillance in Iowa, USA, 1989 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000417)",gpt-3.5-turbo,"Genotype and phenotype	Parasitology	""Infectious disease""
"
"Franklin County Public Health data in Franklin county, Ohio, 2009.","2009 mosquito data from Franklin county, Ohio, collected by the Franklin County Public Health Department. (MapVEu VBP0000607)",gpt-3.5-turbo,"Parasitology	Zoology	Agricultural science
"
"Blood-feeding behaviour of the malarial mosquito Anopheles arabiensis"":"" implications for vector control","Mosquito abundance data collected in the Konso District of southern Ethiopia, using multiple measures including PSC, HLC, and light traps from (MapVEu VBP0000621)",gpt-3.5-turbo,"Transcriptomics	Cell biology	Molecular biology
"
Plasmodium Infection Alters Anopheles Gambiae Detoxification Gene Expression,Adult Anopheles gambiae mosquitoes were infected with Plasmodium berghei. Gene expression in midgut and fat body tissues was measured with respect to an uninfected control at 1 and 11 days post infection on a custom detoxification gene array. Expression ratios between 11 and 1 days were also determined for infected and uninfected mosquito midguts and fat bodies.,gpt-3.5-turbo,"Genetics	Microbiology	Genomics
"
"An outbreak of Plasmodium falciparum malaria due to Anopheles minimus in central Assam, India",Insecticide resistance study imported from IRBase. (MapVEu VBP0000042),gpt-3.5-turbo,"Genomics	Microbiology	Parasitology
"
<i>Lodderomyces elongisporus</i> NRRL YB-4239 Genome Sequence and Annotation,Genome Sequence and Annotation of Lodderomyces elongisporus NRRL YB-4239,gpt-3.5-turbo,"Genomics	Molecular biology	Parasitology
"
Encysting Giardia during infection in human IEC,RNA-seq data from encysting Giardia cells (7hr encysting) during an infection in human Caco-2 cells,gpt-3.5-turbo,"Parasitology	Zoology	Infectious disease
"
Aligned genomic sequence reads - White Paper Strains,"Whole genome resequencing data from  ~60 isolates of Toxoplasma gondii (spanning the 16 haplogroups identified in 
      the T. gondii resequencing white paper) were used to call SNPs 
       and determine CNV at the gene and chromosome level.",gpt-3.5-turbo,"Gene expression, Genetics, Parasitology
"
"Composition of Anopheles mosquitoes, their blood-meal hosts, and Plasmodium falciparum infection rates in three islands with disparate bed net coverage in Lake Victoria, Kenya","This study investigated malaria vector species diversity, blood-meal hosts, Plasmodium infection rates, and long-lasting insecticidal net (LLIN) coverage on Mageta, Magare and Ngodhe Islands of Lake Victoria in western Kenya, a region where extensive vector control is implemented on the mainland. (MapVEu VBP0000221)",gpt-3.5-turbo,"Environmental sciences  	Ecology  	Infectious disease
"
RON13 knock-down phosphoproteome,"Phosphoproteomes of Toxoplasma gondii delta-Ku80 (parental strain) and RON13 kinase knock-down (RON13-KD), following phosphopeptide enrichment and shotgun proteomics.",gpt-3.5-turbo,"Transcriptomics   Microbiology   Animal study
"
<i>Anopheles sinensis</i> SINENSIS Genome Sequence and Annotation,Genome Sequence and Annotation for Anopheles sinensis SINENSIS,gpt-3.5-turbo,"Environmental sciences   Microbiology   Public health and epidemiology
"
Transcriptomic response to lignocellulose (willow),"Transcriptomic profiling of cells growing on glucose, willow, and glucose+willow (AB SOLiD System 3.0)",gpt-3.5-turbo,"Genomics\tMicrobiology\tParasitology
"
SNP calls on WGS of Aspergillus fumigatus clinical isolates,"Whole genome sequence of a set of clinical, environmental and experimental (B5233) A. fumigatus isolates",gpt-3.5-turbo,"Environmental sciences   Microbiology   Infectious disease
"
<i>Emmonsia crescens</i> UAMH 3008 Genome Sequence and Annotation,Genome Sequence and Annotation of Emmonsia crescens UAMH 3008,gpt-3.5-turbo,"Gene expression   Embryology   Animal study
"
Testes transcriptome unmated vs mated,"Anopheles gambiae sensu stricto, originally colonized from Suakoko, Liberia. Testes were dissected from sexually mature, unmated or mated males at 4–6 days posteclosion.",gpt-3.5-turbo,"Transcriptomics\tMicrobiology\tInfectious disease
"
Ribosome and steady state mRNA-Seq of asexual cell cycle stages,"Ribosome profiling and steady state mRNA-Seq through five stages of the P. falciparum 
           blood phase developmental cycle. RNA from W2 strain asexual stages were aligned to 
           P. falciparum 3D7.",gpt-3.5-turbo,"Transcriptomics	Ribosome Profiling	Gene expression
"
Transcriptional responses to macrophage phagocytosis,Transcriptional responses to macrophage phagocytosis by Candida albicans,gpt-3.5-turbo,"Bioinformatics  	Genetics  	Molecular biology
"
Bradyzoite in vitro Transcriptome (ME49),T. gondii ME49 bradyzoite mRNA Illumina sequences aligned to the ME49 Genome,gpt-3.5-turbo,"Genomics	Molecular biology	Parasitology
"
GeneChip Plasmodium/Anopheles Genome Array,Probe sequences from the P. falciparum Anopheles Oligos. Zoom to 20K or less to see the probe glyphs.,gpt-3.5-turbo,"Genomics\tMolecular biology\tBioinformatics
"
Impact of Glyphosate and Benzo[a]pyrene on the Tolerance of Mosquito Larvae to Chemical Insecticides. Role of Detoxification Genes in Response to Xenobiotics,Impact of glyphosate and benzo[a]pyrene on the tolerance of mosquito larvae to chemical insecticides. Role of detoxification genes in response to xenobiotics.,gpt-3.5-turbo,"Genomics	Parasitology	Microbiology
"
PBMCs stimulated for 4h and 24h with live Candida spp. and their cell wall components,RNA sequencing profiles of PBMCs stimulated for 4h and 24h with live C. albicans and C. auris and their cell wall components,gpt-3.5-turbo,"Transcriptomics	Cell biology	Genomics
"
Barcoding blood meals: New vertebrate-specific primer sets for assigning taxonomic identities to host DNA from mosquito blood meals,"Presenting new primer sets designed to amplify fragments of the DNA barcoding region of the vertebrate COI gene, while avoiding co-amplification of mosquito templates, without multiplexed or nested PCR. (MapVEu VBP0000329)",gpt-3.5-turbo,"Genomics    Parasitology	Biology
"
Mitochondrial Fraction Proteomics,proteome of the C. parvum mitochondrial fraction,gpt-3.5-turbo,"Bioinformatics	Biology	Genetics
"
"A multipurpose high throughput SNP chip for the dengue and yellow fever mosquito, Aedes aegypti",High throughput genotyping of Aedes aegypti populations from around the world using a custom SNP genotyping chip. (MapVEu VBP0000122),gpt-3.5-turbo,"Genetics	Parasitology	Microbiology
"
Leishmania major RNA-Seq during human macrophage infection,"RNA-Seq analysis of transcriptomes of human macrophage and parasite during an infection time course. Human 
           macrophages were infected with Leishmania major and Leishmania amazonensis",gpt-3.5-turbo,"Genomics	Microbiology	Parasitology
"
<i>Toxoplasma gondii</i> RH-88 Genome Sequence and Annotation,Genome Sequence and Annotation for Toxoplasma gondii RH-88,gpt-3.5-turbo,"Environmental sciences   Ecology	Medical informatics
"
Mosquito surveillance from Rwanda,Mosquito surveillance from Rwanda from 3 villages.,gpt-3.5-turbo,"Environmental sciences   Microbiology   Infectious disease
"
GPL1321 - Affymetrix Plasmodium Anopheles,"The GeneChip Plasmodium/Anopheles Genome Array includes probe sets to over 4,300 Plasmodium falciparum transcripts and approximately 14,900 Anopheles gambiae transcripts. The Plasmodium/Anopheles Genome Array was developed in collaboration with the Malaria Research Institute at the Johns Hopkins Bloomberg School of Public Health.
P. falciparam sequence information for this array was collected primarily from PlasmodB (version 4.1, June 2003) and augmented with sequence information from GenBank and dbEST. Sequence information for A. gambiae was drawn primarily from Ensembl (Build 2, 2003) and augmented with sequence information from GenBank and dbEST.",gpt-3.5-turbo,"Gene expression
"
"Intraerythrocytic development cycle transcriptome by DAFT-Seq (3D7, HB3, IT, 2020)","Transcriptome throughout the intraerythrocytic development cycle. RNA sequence analysis of 7 time points (0, 8, 16, 24, 32, 40, 48 hrs) post infection of tightly synchronized Plasmodium falciparum 3D7, HB3 and IT parasites.",gpt-3.5-turbo,"Microarray
"
Transcriptome changes in response to genotoxic stress,Transcriptomes of WT and H3K9me3-deficient mutants,gpt-3.5-turbo,"Drug resistance
"
Genetic variation associated with increased insecticide resistance,Raw strand-specific mRNA-Seq reads from Malpighian tubule tissue. An. coluzzii mosquitoes (of a resistant strain) were either exposed to a sub-lethal dose of permethrin or exposed to an acetone control bottle.,gpt-3.5-turbo,"Genomics	Tropical medicine	Parasitology
"
Highly evolvable malaria vectors: The genomes of 16 Anopheles mosquitoes,"Four species were selected from the An. gambiae sibling species complex followed by
sampling at increasing evolutionary distances within the three main anopheline subgenera
with particular emphasis on the subgenus Cellia. A subset of species was also
selected for SNP-discovery sequencing. The selected species also cover the
spectra of geography - old to new world, and vectorial capacity - from highly efficient to
non-vectors, and most are available from colonies housed by the Malaria Research and
Reference Reagent Resource Center. (MapVEu VBP0000119)",gpt-3.5-turbo,"Environmental sciences    Ecology    Zoology
"
"Susceptibility of Aedes aegypti and Aedes albopictus to temephos in four study sites in Kuala Lumpur City Center and Selangor State, Malaysia",Insecticide resistance study imported from IRBase. (MapVEu VBP0000048),gpt-3.5-turbo,"Genetics	Genomics	Sequence analysis
"
Transcriptome of mouse bone marrow derived macrophages infected by Wild-Type and gra18 mutant strains of T. gondii,Transcriptome of mouse bone marrow derived macrophages infected by Wild-Type and gra18 mutant strains of T. gondii,gpt-3.5-turbo,"RNA, Genetics, Microbiology
"
Transcriptional responses to macrophage phagocytosis,Transcriptional responses to macrophage phagocytosis by Candida tropicalis,gpt-3.5-turbo,"Transcriptomics     Biomarkers     Animal Study
"
<i>Cryptococcus gattii VGI</i> EJB2 Genome Sequence and Annotation,Cryptococcus gattii EJB2 Genome Sequence and Annotation,gpt-3.5-turbo,"Environmental sciences   	Data acquisition   	Vector-borne diseases
"
PCF and BSF Surface Proteomics,T. brucei proteomics of the cell surface from both PCF and BSF stages,gpt-3.5-turbo,"Public health and epidemiology        Zoology        Infectious disease
"
Intracellular Amastigotes (MNYC/BZ/62/M379),Proteomic analysis of intracellular Leishmania mexicana.,gpt-3.5-turbo,"Environmental sciences	Zoology	Parasitology
"
"Infected ileum and cecum of IFN-gamma negative, STAg treated mice",Transcriptome of Cryptosporidium parvum from the ileum and cecum of IFN-gamma negative mice during treatment with or without STAg.,gpt-3.5-turbo,"Cell biology	Molecular biology	Parasitology
"
The effect of permethrin resistance on transcriptome following ingestion of Zika virus infected blood,"Aedes aegypti (L.) is the primary vector of many emerging arboviruses. Insecticide resistance among mosquito populations is a consequence of the application of insecticides for mosquito control. We used RNA-Seq to compare transcriptomes between permethrin resistant and susceptible strains of Florida Ae. aegypti in response to Zika virus infection.  Overall design: Ae. aegypti larvae were collected from Key West (24.55 N, 81.78 W), Florida, USA and maintained at the Florida Medical Entomological Laboratory (FMEL) in Vero Beach, FL since 2011. The parental collection of Ae. aegypti from the field was initially tested for permethrin resistance, then subjected to permethrin selection for 15 generations (see below) and again assayed for resistance (referred to as the resistant strain). The Orlando strain of Ae. aegypti was collected from Orlando (28.53 N, 81.37 W), Florida, USA and reared in the Mosquito and Fly Research Unit, Center for Medical, Agricultural and Veterinary Entomology, ARS-USDA in Gainesville, FL since 1952. The Orlando strain is recognized as a permethrin susceptible strain of Ae. aegypti. Four-day-old female adults were fed defibrinated bovine blood containing either ZIKV (treatment) or blood lacking virus (control). The ZIKV infected and control mosquitoes from two Ae. aegypti strains were harvested for a time course study. Individual mosquitoes were dissected into body and legs and tested to confirm susceptibility to infection and disseminated infection rates, respectively. Ten mosquitoes (12 hours and 7 days post ZIKV infection) were pooled for each sample for RNA-Seq.",gpt-3.5-turbo,"Infectious disease	Medical informatics	Public health and epidemiology
"
International Centers of Excellence for Malaria Research,An NIH program establishing a network of independent research centers in malaria-endemic settings.,gpt-3.5-turbo,"Genomics	Annotation	Biology
"
Post-translationally modified proteins during differentiation,"Proteomes of post-translationally modified proteins (glycosylated, acetylated, methylated and phosphorylated) from L. infantum promastigotes, amastigotes and differentiating promastigotes.",gpt-3.5-turbo,"Microbiology	Transcriptomics	""Infectious disease""
"
ChIP-Seq in MORC WT and MORC KD parasites,ChIP-Seq in MORC WT and MORC KD T. gondii,gpt-3.5-turbo,"Genetic variation\tGenetics\tInfectious disease
"
SNP calls of C. auris collected from apples,Seasonal tropical and temperate fruits were screened for C. auris. Colonies of C. auris were obtained from the surfaces of stored apples.,gpt-3.5-turbo,"Entomology	Zoology	Public health and epidemiology
"
"Reduced-representation sequencing identifies small effective population sizes of
Anopheles gambiae in the north-western Lake Victoria basin, Uganda","478 Anopheles gambiae mosquitoes were collected from six locations and a subset (N=96) was selected for RADseq. The resulting SNP marker set was analysed for effective size, connectivity and population structure.",gpt-3.5-turbo,"Biochemistry	Biology	Parasitology
"
"Mosquito surveillance in Orange County, Florida, USA. 2015",Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000260),gpt-3.5-turbo,"Genomics\tBioinformatics\tBiology
"
CalCEN: Candida albicans co-expression Network v1.0.0,Raw reads from 853 RNA-seq runs of 18 large-scale candida Albicans studies were collected from NCBI and re-mapped to 6226 open reading frames of the SC5314 strain. The CalCEN co-expression network was then estimated by the pairwise spearman rank-correlation of FPKM expression values across all runs.,gpt-3.5-turbo,"Transcriptomics	Zoology	Molecular biology
"
North Dakota State Department of Health mosquito data for 2011,"2011 mosquito data from North Dakota, collected by the North Dakota State Department of Health. (MapVEu VBP0000535)",gpt-3.5-turbo,"Genetics	Genomics	Microbiology
"
Aligned genomic sequence reads - strain IQ07,"Whole genome resequencing data from  P. vivax strain IQ7 were used to call SNPs 
       and determine CNV at the gene and chromosome level.",gpt-3.5-turbo,"Genomics	Sequence analysis	Biology
"
<i>Trypanosoma cruzi</i> strain S162a Genome Sequence,Genome Sequence for Trypanosoma cruzi strain S162a,gpt-3.5-turbo,"Bioinformatics	Molecular genetics	Genomics
"
"Pyrethroid susceptibility & enzyme activity in two malaria vectors, Anopheles stephensi (Liston) & A. culicifacies (Giles) from Mysore, India.",Insecticide resistance study imported from IRBase. (MapVEu VBP0000036),gpt-3.5-turbo,"RNA	splicing	Ribosome Profiling	seqeuence analysis
"
Over-expressed proteins in ΔprtT mutant,Proteome analysis of the protease-deficient ΔprtT mutant in Aspergillus fumigatus.,gpt-3.5-turbo,"Transcriptomics	Immunology	Microbiology
"
WGS of C. parvum isolates from human (PRJNA634014) (C. hominis aligned),Whole genome sequencing of C. parvum isolates retrieved from human hosts. Isolates were aligned to C. hominis,gpt-3.5-turbo,"Bioinformatics	Taxonomy	Parasitology
"
