Data Repository,_id,Name,Description,Topics,Predictions,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
Dryad Digital Repository,DRYAD_doi.org:10.5061:dryad.sf1s3,Tadpole begging reveals high quality,"Parents can benefit from allocating limited resources non-randomly among offspring, and offspring solicitation (i.e., begging) is often hypothesized to evolve because it contains information valuable to choosy parents. We tested the diagnostic predictions of three ‘honest begging’ hypotheses –Signal of Need, Signal of Quality, and Signal of Hunger – in the tadpoles of a terrestrial frog (Oophaga pumilio). In this frog, mothers provision tadpoles with trophic eggs, and when mothers visit, tadpoles perform a putative begging signal by stiffening their bodies and vibrating rapidly. We assessed the information content of intense tadpole begging with an experimental manipulation of tadpole condition (need/quality) and food-deprivation (hunger). This experiment revealed patterns consistent with the Signal of Quality hypothesis and directly counter to predictions of Signal of Need and Signal of Hunger. Begging effort and performance were higher in more developed and higher condition tadpoles and declined with food-deprivation. Free-living mothers were unlikely to feed tadpoles of a non-begging species experimentally cross-fostered with their own, and allocated larger meals to more developed tadpoles and those that vibrated at higher speed. Mother O. pumilio favour their high quality young, and because their concurrent offspring are reared in separate nurseries, must do so by making active allocation decisions. Our results suggest that these maternal choices are based at least in part on offspring signals, indicating that offspring solicitation can evolve to signal high quality.",[Freshwater biology | Evolutionary biology | Developmental biology],{'Animal study'},0.0,0.0,0.0,"{'Evolutionary biology', 'Developmental biology', 'Freshwater biology'}",{'Animal study'},0.6428571429,0.0,3.0,1.0,0.6428571429
Dryad Digital Repository,DRYAD_doi.org:10.6078:D1VD86,The EDA receptor (EDAR) is a candidate gene for lateral plate number variation in stickleback fish,"Variation in lateral plating in stickleback fish represents a classical example of rapid and parallel adaptation in morphology. The underlying genetic architecture involves polymorphism at the ectodysplasin-A (EDA) gene. However, lateral plate number is influenced by additional loci that remain poorly characterized. Here we search for such loci by performing genome-wide differentiation mapping based on pooled whole-genome sequence data from a European stickleback population variable in the extent of lateral plating, while tightly controlling for the phenotypic effect of EDA. This suggests a new candidate locus, the EDA receptor (EDAR) gene, for which additional support is obtained by individual-level targeted Sanger sequencing and by comparing allele frequencies among natural populations. Overall, our study illustrates the power of pooled whole-genome sequencing for searching phenotypically relevant loci and opens opportunities for exploring the population genetics and ecological significance of a new candidate locus for stickleback armor evolution.
Methods
These data were generated to investigate candidate genes for the reduction in the lateral plates of stickleback fish (Gasterosteus acculeatus). These consist mainly of pool whole-genome single nucleotide polymorphism (SNP) data. Individuals were pooled, by plating phenotype, controlling for EDA genotype and lateral plate phenotype, and all raw whole-genome read data has been deposited in the NCBI SRA library (see file SRA_Accession_Info.xlsx for specif codes). Phenotypic data to access lateral plate number for the focus population (a stream from Constance Lake) is also provided. See methods section in DOI: 10.1093/g3journal/jkac077 for further details.",[Evolutionary Biology | Population genetics | Whole genome sequencing],"{'Evolutionary biology', 'Genomics', 'Population genetics'}",0.5,0.6666666667,0.6666666667,{'Whole genome sequencing'},{'Genomics'},0.5,0.0,1.0,1.0,0.5
Dryad Digital Repository,DRYAD_doi.org:10.5061:dryad.sc20b6g,The influence of landscape context on short- and long-term forest change following a severe ice storm,"1. When deforestation results in small forest fragments surrounded by a non-forest matrix, forest stands within these fragments experience changes in structure and community composition. They also continue to experience natural disturbances like hurricanes and ice storms. It is unclear whether the landscape context of forest stands influences plant community response to natural disturbances. 2. Using data from surveys of forested plots in the years immediately following and 19 years after a severe ice storm, we measured changes in woody stem density, species richness, and beta diversity. 3. Plots with greater storm damage had greater gains in stems and species, and greater shifts in community composition. In addition, there were interactions between the degree of storm damage and landscape context. The short-term effects of storm damage were magnified in plots with less forest on the surrounding landscape and farther from the forest edge.  In plots with high damage, a return towards pre-storm conditions over the long-term occurred more often in plots farther from the forest edge compared to those close to the edge. 4. Synthesis: Future climate scenarios predict increases in severe weather and accompanying ecosystem disturbance. Our results show that it is important to consider landscape context when assessing the response of forest communities to such disturbances.",[Environmental science | Biodiversity | Plant biology],"{'Ecology', 'Environmental sciences'}",0.25,0.5,0.3333333333,"{'Biodiversity', 'Plant biology'}",{'Ecology'},0.8928571429,0.0,1.5,1.0,0.8928571429
Dryad Digital Repository,DRYAD_doi.org:10.5061:dryad.b1366vs,Three-dimensional shape and velocity changes affect responses of a locust visual interneuron to approaching objects,"Adaptive collision avoidance behaviours require accurate detection of complex spatiotemporal properties of an object approaching in an animal's natural, 3-dimensional environment. Within the locust, the lobula giant movement detector (LGMD) and its postsynaptic partner, the descending contralateral movement detector (DCMD) respond robustly to images that emulate an approaching 2-dimensional object and exhibit firing rate modulation correlated with changes in object trajectory. It is not known how this pathway responds to visual expansion of a 3-dimensional object or an approaching object that changes velocity, both of which representing natural stimuli. We compared DCMD responses to images that emulate the approach of a sphere with those elicited by a 2-dimensional disc. A sphere evoked later peak firing and deceased sensitivity to the ratio of the half size of the object to the approach velocity, resulting in an increased threshold subtense angle required to generate peak firing. We also presented locusts with a sphere that decreased or increased velocity against either a white or flow field background. A velocity decrease resulted in transition-associated peak firing followed by a firing rate increase that resembled the response to a constant, slower velocity. A velocity increase resulted in an earlier increase in the firing rate that was more pronounced with an earlier transition. For the flow field contrast used here, we observed no effect of background motion on responses to approaches along constant or changing velocities. These results further demonstrate that this pathway can provide motor circuits for behaviour with salient information about complex stimulus dynamics.",[Animal study | Biophysics | Neurobiology],"{'Environmental sciences', 'Ecology', 'Plant biology'}",0.0,0.0,0.0,"{'Biophysics', 'Neurobiology', 'Animal study'}","{'Ecology', 'Plant biology', 'Environmental sciences'}",0.6755952381,0.5,1.0,1.0,0.6755952381
Dryad Digital Repository,DRYAD_doi.org:10.5061:dryad.1s56s89,Trophic niche changes associated to habitat fragmentation in a Neotropical bat species,"Habitat fragmentation could alter ecological traits including species trophic habits. Here, we used carbon and nitrogen stable isotope ratios to establish differences in isotopic niche width and food resource use between forest fragments and the continuous forest for the phyllostomid frugivorous bat Artibeus lituratus. Using mist nests, we captured bats from two forest fragments and two sites in continuous forest, and sampled from each individual captured three body tissues with contrasting turnover rates (skin, muscle and liver).  Samples were collected between February-March (austral summer) and between August-September (austral winter). In addition, in each sampling site and season we collected potential food resources (fruits and insects) consumed by our A. lituratus. Our findings indicate that A. lituratus had a predominantly omnivorous diet, with high consumption of insects during summer in forest fragments. The increasing consumption of insects in these fragments seems to have led to a wider isotopic niche, in relation to the continuous forest. Because A. lituratus
is typically a seed disperser, changes in trophic habits in the forest fragments from frugivory to insectivory may diminish their role in forest regeneration.",[Ecology | Zoology | Environmental science],"{'Ecology', 'Environmental sciences', 'Animal study'}",0.5,0.6666666667,0.6666666667,{'Zoology'},{'Animal study'},1.142857143,0.0,1.0,1.0,1.142857143
Dryad Digital Repository,DRYAD_doi.org:10.5061:dryad.9bg43,Women’s preference for masculine traits is disrupted by images of male-on-female aggression,"Women’s preferences for men’s masculinized faces and voices were assessed after women (n = 331) were primed with images of male-on-male aggression, male-on-female aggression, pathogens, and neutral scenes. Male-on-male aggression and pathogen primes were associated with increased preference for masculine traits, but the same effect emerged in the neutral condition. We show the increased preference for masculine traits was due to repeated exposure to these traits, not the priming images themselves. Images of male-on-female aggression were an exception; these elicited feelings of disgust and anger appeared to disrupt the preference for masculinized traits. The results suggest women process men’s facial and vocal traits as signals of aggressive potential and lose any preference for these traits with cues indicating men might direct this aggression toward them.  
 ",[Evolutionary Biology | Psychiatry],"{'Immunology', 'Genomics', 'Animal study'}",0.0,0.0,0.0,"{'Evolutionary biology', 'Psychiatry'}","{'Immunology', 'Genomics', 'Animal study'}",0.7420634921,0.0,0.6666666667,0.6666666667,0.4947089947
Harvard Dataverse,Dataverse_10.7910_DVN_NYJHGV,A00_15016.jpg,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/538b2a04-7a14-4eb9-7795-3a332ce06d06,[Data management],"{'Database management', 'Data submission, annotation, and curation', 'Data integration and warehousing'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Data submission, annotation, and curation', 'Data integration and warehousing'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_32CECH,A10_18667.jpg,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/66fd4455-dce5-46cd-942a-ac490425af2f,[Data management],"{'Database management', 'Software engineering', 'Informatics'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Software engineering', 'Informatics'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_DA8V5Y,A12_21181.JPG,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/7ab5eb3a-228f-4499-95bd-ee4d4010ca61,[Data management],"{'Database management', 'Data integration and warehousing', 'Informatics'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Data integration and warehousing', 'Informatics'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_ATLNOY,A12_21976.JPG,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/303fb522-d614-4b12-acf3-648c48b6b0fa,[Data management],"{'Database management', 'Data integration and warehousing'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Data integration and warehousing'}",0.0,0.0,0.5,0.5,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_EXYYEU,A15_27380.jpg,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/73cf37ab-3e23-44a5-9b47-16f144d38f89,[Data management],"{'Database management', 'Data submission, annotation, and curation', 'Data architecture, analysis and design'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Data submission, annotation, and curation', 'Data architecture, analysis and design'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_P72L1O,A97_8769c.jpg,Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/f8748953-258b-60ab-3691-2cf6b42021fa,[Data management],"{'Database management', 'Data submission, annotation, and curation', 'Genetics'}",0.0,0.0,0.0,{'Data management'},"{'Database management', 'Data submission, annotation, and curation', 'Genetics'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_25908,Central Luzon Loop Survey (1979-1980),"The objective of the study is to monitor the changes in rice farming in the major rice producing area of the Philippines - the Central Luzon region, which is called as the ""rice bowl of the Philippines.""",[Agricultural science],"{'Environmental sciences', 'Genetics', 'Agricultural science'}",0.3333333333,0.3333333333,1.0,{},"{'Environmental sciences', 'Genetics'}",0.3333333333,0.0,0.3333333333,0.3333333333,0.1111111111
Harvard Dataverse,Dataverse_10.7910_DVN_TP4IBX,China Wheat Wholesaler Survey,"China wheat wholesaler survey is the study of the wholesalers in the wheat value chain in the province of Henan. These data allow quantifying the extent of food loss in the wholesaler level using consistent approaches that are comparable across commodities and regions. They also enable characterizing the nature of food loss, specifically the production stages and the particular processes at which loss is incurred.",[Agricultural science],"{'Data governance', 'Genetics', 'Agricultural science'}",0.3333333333,0.3333333333,1.0,{},"{'Data governance', 'Genetics'}",0.3333333333,0.0,0.3333333333,0.3333333333,0.1111111111
Harvard Dataverse,Dataverse_10.7910_DVN_D81TVF,"Executive Agreements Database, Background Statement Concerning the Agreement Between The United States and The Russian Federation For Cooperation In The Global Learning and Observations To Benefit The Environment (GLOBE) Program, with Appendices Signed At Moscow December 16, 1994 Entered Into Force December 16, 1994",TIAS 12590 cover memo,terms not in EDAMT,{'Environmental sciences'},0.0,0.0,0.0,{},{'Environmental sciences'},0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_WFNCWU,"Executive Agreements Database, Statement Regarding Agreement Between The United States and China Regarding Mutual Assistance In Customs Matters, Signed At Washington April 9, 1999",TIAS 13029 First signed 04/09/1999 Last signed 04/09/1999 Entry into force (supplemented by last signed) 04/09/1999 stamped 03-47 C06543399 cover memo,terms not in EDAMT,{},0.0,0.0,0.0,{},{},0.0,0.0,,,
Harvard Dataverse,Dataverse_10.7910_DVN_HQQSLD,"Executive Agreements Database, Statement Regarding the Arrangement with Jordan For the Exchange of Technical Information and Cooperation In Nuclear Safety Matters, with Addenda and Annex. Signed At Vienna September 20, 2012. Entered into force September 20, 2012.",TIAS 12-920 First signed 09/20/2012 Last signed 09/20/2012 Entry into force (supplemented by last signed) 09/20/2012 CAR 2012-0176 stamped 2012-0176 C06761359 cover memo,terms not in EDAMT,{},0.0,0.0,0.0,{},{},0.0,0.0,,,
Harvard Dataverse,Dataverse_10.7910_DVN_KTOKSL,"Executive Agreements Database, Statement Regarding the Memorandum of Understanding On Cooperation In Fundamental Aeronautical Sciences Between The National Aeronautics and Space Administration of the United States of America and The State Committee For The Defense Branches Of Industry of the Russian Federation Signed At Moscow December 16, 1993",KAV 3741 cover memo,terms not in EDAMT,"{'Data submission, annotation, and curation', 'Computer science', 'Data architecture, analysis and design'}",0.0,0.0,0.0,{},"{'Data submission, annotation, and curation', 'Computer science', 'Data architecture, analysis and design'}",0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.34894_RQY4XY,fort St Michiel Venlo,Dendrochronological research project,terms not in EDAMT,"{'Environmental sciences', 'Ecology', 'Zoology'}",0.0,0.0,0.0,{},"{'Environmental sciences', 'Ecology', 'Zoology'}",0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_23984,Geodatabase of Carolingian Coin Hoards: AD 751-987 (Version 1.1),"This geodatabase is a digital edition of the data provided in Simon Coupland's 2011 ""A Checklist of Carolingian Coin Hoards 751-987,"" which gives a comprehensive summary description of hoards containing more than three coins issued by the Carolingian dynasty and found in Europe up to the date of publication. DARMC contributors have expanded Dr. Coupland's work by adding geographic coordinates to hoard findspots and coding numeric fields to facilitate the spatial and quantitative analysis of this data. This dataset is not exhaustive of the information from Coupland 2011 and careful attention should be paid to the additional notes in the original study. UPDATE: Version 1.1 of this study contains updated and corrected geocodes for selected sites. We are grateful for the assistance of Simon Coupland and Johan Ahlfeldt in making these improvements. As this corrected dataset supercedes all previous releases, study version 1.0 will no longer be available for download.",[Data management],{},0.0,0.0,0.0,{'Data management'},{},0.0,0.0,inf,1.0,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_1PEEY0,Global High-Resolution Soil Profile Database for Crop Modeling Applications,"One of the obstacles in applying advanced crop simulation models such as DSSAT at a grid-based platform is the lack of gridded soil input data at various resolutions. Recently, there has been many efforts in scientific communities to develop spatially continuous soil database across the globe. The most representative example is the SoilGrids 1km released by ISRIC in 2014. In addition recent AfSIS project put a lot of efforts to develop more accurate soil database in Africa at high spatial resolution. Taking advantage of those two available high resolution soil databases (SoilGrids 1km and ISRIC-AfSIS at 1km resolution), this project aims to develop a set of DSSAT compatible soil profiles on 5 arc-minute grid (which is HarvestChoice’s standard grid). Six soil properties (bulk density, organic carbon, percentage of clay and silt, soil pH and cation exchange capacity) available from the original SoilGrids 1km or ISRIC-AfSIS were directly used as DSSAT inputs. We applied a pedo-transfer function to derive some soil hydraulic properties (saturated hydraulic conductivity, soil water content at field capacity, wilting point and saturation) which are critical to simulate crop growth. For other required variables, HarvestChoice’s HC27 database are used as a reference. Final outputs are provided in *.SOL file format (DSSAT soil database) for each country at 5-min resolution. In addition, uncertainty maps for organic carbon and soil water content at wilting points at the top 15 cm soil layers were generated to provide brief idea about accuracy of the final products. The generated soil properties were evaluated by visualizing their global maps and by comparing them with IIASA-IFPRI cropland map and AfSIS-GYGA’s available water content maps.",[Agricultural science],"{'Environmental sciences', 'Biology', 'Molecular biology'}",0.0,0.0,0.0,{'Agricultural science'},"{'Environmental sciences', 'Biology', 'Molecular biology'}",0.7172619048,0.0,0.3333333333,0.3333333333,0.2390873016
Harvard Dataverse,Dataverse_10.34894_WYWSEH,LCE BUDELIERE-GNL11,Dendrochronological research project,terms not in EDAMT,{'Biology'},0.0,0.0,0.0,{},{'Biology'},0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.15139_S3_TW8TJZ,"Monmouth University Virginia Poll, Number 208","This survey was conducted among Virginia voters likely to vote in the Democratic presidential primary on March 3, 2020 and includes candidate support.",terms not in EDAMT,{},0.0,0.0,0.0,{},{},0.0,0.0,,,
Harvard Dataverse,Dataverse_10.7910_DVN_IEDQEW,"PATSTAT Biblio Spring 2017, 202-02 to 203-06",Bibliographical patent data,[Data management],"{'Data management', 'Data integration and warehousing', 'Informatics'}",0.3333333333,0.3333333333,1.0,{},"{'Data integration and warehousing', 'Informatics'}",0.3333333333,0.0,0.3333333333,0.3333333333,0.1111111111
Harvard Dataverse,Dataverse_10.7910_DVN_8LYUAY,"Perceptions of Electoral Integrity-Russia, (PEI-Russia 1.0)","The Perceptions of Electoral Integrity-Russia(PEI-Russia) is based on an expert survey comparing the quality of elections in the September 2015 oblasts contests. Data was collected in 30 states of Russia which held gubernatorial elections and state legislative elections. Almost 550 experts on Russian elections were contacted, generating 172 responses, reflecting a response rate of around 40%. The study was conducted by the Electoral Integrity Project. The Principle Investigators are Pippa Norris, Ferran Martinez i Coma, Alessandro Nai and Max Gromping, based at the University of Harvard and Sydney, with the assistance of Margarita Zavadskaya, Vsevolod Bederson, Aleksei Gilev and Andrey Semenov from European University Institute (Fiesole, Italy) and The Centre for Comparative History and Political Studies at Perm State National Research University. More details about the research design for this study can be found at www.electoralintegrityproject.com",terms not in EDAMT,{},0.0,0.0,0.0,{},{},0.0,0.0,,,
Harvard Dataverse,Dataverse_10.34894_TPL4OI,Replication Data for Chapter 6: What makes internationally-financed adaptation projects focus on local communities? A configurational analysis of 30 Adaptation Fund projects,"There is much scholarly and policy interest in the role that international finance could play in closing the financing gap for community adaptation initiatives. Despite the interest, the overall amount of international adaptation finance that has reached local recipients remains low. What makes internationally-financed climate change adaptation projects focus on investment at the community level is particularly poorly understood. This study systematically assesses conditions that influence the focus on vulnerable local communities in internationally-financed adaptation projects. Using the Adaptation Fund (AF) under the Kyoto Protocol as the case study, we apply fuzzy-set Qualitative Comparative Analysis (QCA) to analyze 30 AF projects to identify specific configurations of conditions that lead to a stronger or weaker community focus in project design. We find that the absence of high exposure to projected future climate risks is a necessary condition for a weaker community focus in AF projects. Three configurations of sufficient conditions are identified that lead to a stronger community focus. They involve the contextual factors of projected future climate risks, civil society governance, and access modality to AF financing. In particular, AF projects with a stronger community focus are stimulated by the sole presence of higher exposure to projected future climate risks in a group of countries, and by the complementary roles of civil society governance and the access modality to the AF in others. These findings contribute new insights on how to enhance local inclusiveness of global climate finance.",terms not in EDAMT,"{'Environmental sciences', 'Data mining'}",0.0,0.0,0.0,{},"{'Environmental sciences', 'Data mining'}",0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.34894_7RCSFZ,"Replication Data for: Product Variety, the Cost of Living and Welfare Across Countries","Cavallo, A., Feenstra, R.C., & Inklaar, R.C., (2022). Product Variety, the Cost of Living and Welfare Across Countries. American Economic Journal: Macroeconomics, forthcoming",terms not in EDAMT,{'Data mining'},0.0,0.0,0.0,{},{'Data mining'},0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_26547,"Replication data for: Schoen, Harald. 2010. Die Bürger ziehen Bilanz. Einstellungen zur Großen Koalition und Wahlverhalten 2009, in: Egle, Christoph/Zohlnhöfer, Reimut (Hrsg.), Die zweite Große Koalition, Wiesbaden: VS Verlag für Sozialwissenschaften, 29-50.","Replication material for: Schoen, Harald. 2010. Die Bürger ziehen Bilanz. Einstellungen zur Großen Koalition und Wahlverhalten 2009, in: Egle, Christoph/Zohlnhöfer, Reimut (Hrsg.), Die zweite Große Koalition, Wiesbaden: VS Verlag für Sozialwissenschaften, 29-50.",terms not in EDAMT,{},0.0,0.0,0.0,{},{},0.0,0.0,,,
Harvard Dataverse,Dataverse_10.7910_DVN_VXLJUH,Replication Data for: The Fall of Trump: Mobilization and Vote Switching in the 2020 Presidential Election,V,terms not in EDAMT,{'Human genetics'},0.0,0.0,0.0,{},{'Human genetics'},0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.7910_DVN_BHCPGH,Replication Data for: The Politics of Accountability in Supreme Court Nominations: Voter Recall and Assessment of Senator Votes on Nominees,"While longstanding theories of political behavior argue that voters do not possess sufficient political knowledge to hold their elected representatives accountable, recent revisionist studies challenge this view, arguing that voters can both follow how their representatives vote and use that information intelligently. We apply the revisionist account to the study of Supreme Court nominations in the modern era. Using survey data on the nominations of Clarence Thomas, Sonia Sotomayor, and Elena Kagan, we ask whether voters can and do hold senators accountable for their votes on Supreme Court nominees. While our results for Thomas are ambiguous, we find strong evidence for accountability in the case of Sotomayor and Kagan. In particular, we show that voters on average can correctly recall the votes of their senators on these nominees, and that correct recall is correlated with higher levels of education and political knowledge. We then show that voters are more likely to both approve of and vote to re-elect their senator if he or she casts a vote on Sotomayor and Kagan that is in line with voters’ preferences. Finally, we show this effect is quite sizable, as it rivals the effect of agree- ment on other high-profile roll call votes. These results have important implications for both the broader study of representation and for understanding the current politics of Supreme Court nominations.",terms not in EDAMT,"{'Public health and epidemiology', 'Biotechnology'}",0.0,0.0,0.0,{},"{'Public health and epidemiology', 'Biotechnology'}",0.0,0.0,0.0,0.0,0.0
Harvard Dataverse,Dataverse_10.18710_NOLNYM,Video recordings of spawning behavior of Arctic charr; date: 2016-09-17; spawning ground: 3; time: morning; camera no: 6,"This dataset contains video recordings of spawning behavior of Arctic charr (Salvelinus alpinus) in Lake Fjellfrøsvatnet (69°08′N 19°34′E), Troms, Northern Norway. The recordings were made with camera no. 6 at spawning ground 3 in the morning of 17 September 2016.A description of the data structure and format is gathered in the documentation dataset: Egeland, Torvald B.; Folstad, Ivar; Nordeide, Jarle Tryti, 2021, ""Documentation of the Spawning behavior of Arctic charr video collection"", DataverseNO, https://doi.org/10.18710/VIQB0BThis dataset is part of a larger collection: Egeland, Torvald B.; Folstad, Ivar; Nordeide, Jarle Tryti, 2021, ""The Spawning behavior of Arctic charr video collection"". DataverseNO. https://doi.org/10.18710/HTM6-F146.",[Ecology | Zoology],"{'Environmental sciences', 'Marine biology', 'Animal study'}",0.0,0.0,0.0,"{'Ecology', 'Zoology'}","{'Environmental sciences', 'Marine biology', 'Animal study'}",0.6860119048,0.3333333333,0.6666666667,0.6666666667,0.4573412698
HuBMAP,HUBMAP_30d88e0cef1213861241a0f9a1147b5e,HBM293.PLZJ.793,multiplex ion beam imaging data from the uterus of a 26.9-year-old unknown female,[Systems biology | Imaging],"{'Anatomy', 'Biology', 'Medicine'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Anatomy', 'Biology', 'Medicine'}",0.6924603175,0.0,0.6666666667,0.6666666667,0.4616402116
HuBMAP,HUBMAP_00d9d4bf8b010eaa6fca4361476cd2ad,HBM342.MWMW.936,snrnaseq (snare-seq2) data from the kidney (right) of a 57-year-old white female,[Systems biology | Sequencing | RNA-Seq],"{'RNA', 'Biomedical science', 'Human biology'}",0.0,0.0,0.0,"{'Systems biology', 'RNA-Seq', 'Sequencing'}","{'Biomedical science', 'Human biology', 'RNA'}",0.7374338624,0.5,1.0,1.0,0.7374338624
HuBMAP,HUBMAP_b17cad5cbba61ec4a250a45733cd0dba,HBM352.ZMMK.237,multiplex ion beam imaging data from the uterus of a 23.4-year-old unknown female,[Systems biology | Imaging],"{'Omics', 'Gene expression', 'Biology'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Omics', 'Gene expression', 'Biology'}",0.6878306878,0.5,0.6666666667,0.6666666667,0.4585537919
HuBMAP,HUBMAP_8e0f8c74ca57ae29b712469596d4a9ec,HBM355.THLG.323,lc-ms data from the large intestine of a 24-year-old white female,[Systems biology | Analytical chemistry],"{'Microbiology', 'Musculoskeletal medicine', 'Human biology'}",0.0,0.0,0.0,"{'Analytical chemistry', 'Systems biology'}","{'Microbiology', 'Musculoskeletal medicine', 'Human biology'}",0.7916666667,0.0,0.6666666667,0.6666666667,0.5277777778
HuBMAP,HUBMAP_e3b831b46c84bc66e88fa410cf89dc2d,HBM363.LLBL.252,codex data from the large intestine of a 24-year-old white male,[Systems biology | Imaging],"{'Transcriptomics', 'RNA', 'Human biology'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Transcriptomics', 'Human biology', 'RNA'}",0.7824074074,2.0,0.6666666667,0.6666666667,0.5216049383
HuBMAP,HUBMAP_99955da33cd7cd005c37a6ba5bd6c348,HBM367.CDCF.362,lc-ms data from the large intestine of a 38-year-old white male,[Systems biology | Analytical chemistry],"{'Ecology', 'Gastroenterology', 'Microbiology'}",0.0,0.0,0.0,"{'Analytical chemistry', 'Systems biology'}","{'Ecology', 'Gastroenterology', 'Microbiology'}",0.7420634921,0.0,0.6666666667,0.6666666667,0.4947089947
HuBMAP,HUBMAP_f76a38d01513774c832d6917b60ef355,HBM428.ZKRH.262,multiplex ion beam imaging data from the uterus of a 26.9-year-old unknown female,[Systems biology | Imaging],"{'Cell biology', 'Molecular biology', 'Genetics'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Cell biology', 'Molecular biology', 'Genetics'}",0.7916666667,0.0,0.6666666667,0.6666666667,0.5277777778
HuBMAP,HUBMAP_4cc945249a43eda96dc3b985d2ba6d38,HBM534.ZDNW.945,multiplex ion beam imaging data from the uterus of a 28.2-year-old white female,[Systems biology | Imaging],"{'Anatomy', 'Genomics', 'Human biology'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Anatomy', 'Genomics', 'Human biology'}",0.7916666667,0.0,0.6666666667,0.6666666667,0.5277777778
HuBMAP,HUBMAP_66175ea4190378474b7d73c49c470b9f,HBM565.CBJS.354,maldi ims data from the kidney (left) of a 73-year-old white female,[Systems biology | Analytical chemistry],"{'Epigenetics', 'Molecular biology', 'Genomics'}",0.0,0.0,0.0,"{'Analytical chemistry', 'Systems biology'}","{'Epigenetics', 'Molecular biology', 'Genomics'}",0.787037037,0.5,0.6666666667,0.6666666667,0.524691358
HuBMAP,HUBMAP_215f1050fc286dcc579edfd9c2494de1,HBM666.JCGS.862,cell dive data from the skin of a 69.0-year-old white male,[Systems biology | Imaging],"{'Human genetics', 'Cell biology', 'Genetics'}",0.0,0.0,0.0,"{'Imaging', 'Systems biology'}","{'Cell biology', 'Human genetics', 'Genetics'}",0.787037037,0.5,0.6666666667,0.6666666667,0.524691358
HuBMAP,HUBMAP_fe404f09cf1786cfd9ec45a3af62dc6f,HBM674.JTXW.676,snatacseq (snare-seq2) data from the kidney (right) of a 28-year-old black or african american male,[Systems biology | Sequencing],"{'Gastroenterology', 'Analytical chemistry', 'Molecular biology'}",0.0,0.0,0.0,"{'Systems biology', 'Sequencing'}","{'Gastroenterology', 'Analytical chemistry', 'Molecular biology'}",0.7916666667,0.0,0.6666666667,0.6666666667,0.5277777778
HuBMAP,HUBMAP_a8a603e704a4f6fd824b5fc2df1df864,HBM676.FZMP.457,bulk rna-seq [salmon] data from the small intestine of a 67-year-old white female,[Systems biology | Sequencing | RNA-Seq],"{'Biomarkers', 'Cell biology', 'Sequence analysis'}",0.0,0.0,0.0,"{'Systems biology', 'RNA-Seq', 'Sequencing'}","{'Biomarkers', 'Cell biology', 'Sequence analysis'}",0.7916666667,0.0,1.0,1.0,0.7916666667
HuBMAP,HUBMAP_cc5c32cb2832b10a33a81e4611dc1491,HBM693.SKKL.667,snatac-seq [snapatac] data from the large intestine of a 37-year-old white male,[Systems biology | Sequencing],"{'Transcriptomics', 'Molecular biology', 'Genetics'}",0.0,0.0,0.0,"{'Systems biology', 'Sequencing'}","{'Transcriptomics', 'Molecular biology', 'Genetics'}",0.787037037,0.5,0.6666666667,0.6666666667,0.524691358
