Name,Description,Model,Predictions,Ground Truth,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
The role of TLR4 and TRIF signaling in TH2 response to papain,"The role of TLR4 signalling in TH2 response to papain was measured by IL-4 and antibody production. The involvement of MyD88, TRIF, and oxidized phospholipids in the TLR4 pathway was examined. Basophil recruitment to the draining lymph node through dendritic-cell-secreted CCL7 was investigated as a component of the TLR4/TRIF pathway.",gpt-3.5-turbo,"{'Biomedical science', 'Bioinformatics', 'Systems biology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Biomedical science', 'Bioinformatics', 'Systems biology'}",0.7119708994708995,0.0,1.0,1.0,0.7119708994708995
Investigating Alterations to the Nasal Microbiome after Vaccination with LAIV,The goal of this proposal is to characterize alterations to the nasal microbiome after vaccination with the 2012-2013 seasonal LAIV and to correlate these changes with LAIV-specific immune responses (A/California/7/2009 (H1N1) and A/Victoria/361/2011 (H3N2)).,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Project 3 - Optimization experiments DCs DV2 and DV4 - CyTOF,Ex vivo infections of human monocyte derived DCs DENV2 and DENV4 analysis were performed to study the innate immune profile upon infection with those viruses using CyTOF and to elucidate the appropiated time points for future experiments.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
ZIKV ex vivo PBMCs study,Ex vivo infections of human PBMCs were infected with ZIKV (PRVABC59) and DENV2 (Nicaragua 172-06) and analysis was performed to study the innate immune profile upon infection using CyTOF and a multiplexed beads array assay (MBAA).,gpt-3.5-turbo,"{'Cell biology', 'Molecular biology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Cell biology', 'Molecular biology'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
Retained spike-binding and neutralizing activity against emerging SARS-CoV-2 variants,Post-vaccine sera were collected from participants in the PARIS study to determine neutralizing activity against 7 emerging variants using a microneutralization assay designed to allow for multi-cycle replication with sera/antibodies being present in the overlay at all times to better mimic physiological conditions. Binding assays against recombinant RBD and full-length spike proteins of several VoIs and VoCs were also performed.,gpt-3.5-turbo,"{'Virology', 'Microbiology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Microbiology'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
A Mouse Model of Chronic West Nile Virus,"Using the Collaborative Cross, a population of recombinant inbred mouse strains with high levels of standing genetic variation, we have identified a mouse model of persistent WNV disease, with persistence of viral loads within the brain.",gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Data submission, annotation, and curation'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}","{'Data submission, annotation, and curation'}",0.5,0.0,1.0,1.0,0.5
Responses to and control of vaccinia in immunosuppressed Rhesus Macaques,A detailed mechanistic study of the immune response to vaccinia vaccine in immunosuppressed Rhesus macaques and development of a relevant preclinical model in which the efficacy and safety of vaccines in the setting of transplantation can be evaluated. ,gpt-3.5-turbo,"{'Immunology', 'Infectious disease', 'Bioinformatics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Bioinformatics'},0.5,0.0,1.0,1.0,0.5
"Sequence-based HLA-A, B, C, DP, DQ, and DR typing","DNA sequence-based typing at the HLA-A, -B, -C, -DPB1, -DQA1, -DQB1, and -DRB1 loci",gpt-3.5-turbo,"{'Virology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Infectious Disease'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Virology'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Human Immune Signature of Zika virus infection,"The human Immune Signature of Zika virus infection was studied in a Zika endemic area, Brazil. T cell responses were compared in acute infected patients as well as convalescent patients.",gpt-3.5-turbo,"{'Infectious disease', 'Genetics', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Genetics', 'Animal study'}",0.9172619047619048,0.0,1.0,1.0,0.9172619047619048
43rd Multicenter Airway Research Collaboration (MARC-43),"We enrolled healthy infants from a primary care group practice from November 2013 through May 2014. Fecal samples were collected via a standardized protocol at home before the clinic visit. First, diapers containing feces were refrigerated or stored in a cooler by parents immediately after collection. The fecal samples were then placed in sterile Sarstedt feces collection containers and immediately stored at _80C. Frozen samples were shipped on dry ice to Baylor College",gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Animal study'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
Genetic Associations with Gestational Duration and Spontaneous Preterm Birth,"A genome wide association study was performed in a discovery set of samples obtained from 43,568 women of European ancestry using gestational duration as a continuous trait and term or preterm (<37 weeks) birth as a dichotomous outcome. Samples from three Nordic data sets (involving a total of 8643 women) were used to test for replication of genomic loci that had significant genome wide association (P<5.0x10-8) or an association with suggestive significance (P<1.0x10-6) in the discovery set. Four loci were associated significantly with gestational duration, and three showed association with preterm birth with genome wide significance. An analysis of mother--infant dyads suggested that these variants act at the level of the maternal genome. Data is shared at http://www.genestation.org/analysis/gwas/Zhang_2017/discovery",gpt-3.5-turbo,"{'DNA', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'DNA', 'Genetics'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
Controlled malaria infection in Europeans and Africans,LACHMI-001 is a human trial to study immunity against Plasmodium falciparum in a controlled infection setting.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Brazil'},0.6666666666666666,1.0,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",set(),0.6666666666666666,0.0,1.5,1.0,0.6666666666666666
A bacterial extracellular vesicle-based intranasal vaccine against SARS-CoV-2 protects against disease and elicits neutralizing antibodies to wild-type and Delta variants,A bacterial extracellular vesicle-based intranasal vaccine against SARS-CoV-2 protects against disease and elicits neutralizing antibodies to wild-type and Delta variants,gpt-3.5-turbo,"{'Biobank', 'Microbiology', 'Sample collections'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Microbiology', 'Biobank', 'Sample collections'}",0.7919753086419754,0.2857142857142857,1.0,1.0,0.7919753086419754
Heterovariant cross-reactive B-cell responses induced by the 2009 pandemic influenza virus A subtype H1N1 vaccine SLVP021,To study the plasmablast response to monovalent inactivated 2009 pandemic pH1N1 vaccine,gpt-3.5-turbo,"{'Gynaecology and obstetrics', 'Genetics', 'Genomics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Gynaecology and obstetrics', 'Genetics', 'Genomics'}",0.7870370370370373,0.0,1.0,1.0,0.7870370370370373
Impact of immunosuppressive regimens on protective immunity in renal transplant recipients,A prospective longitudinal study comparing renal transplant patients with controls to determine the biological mechanisms that underlie the immunosuppressed state associated with immunosuppressive regimens after transplantation.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Preclinical and clinical studies'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Clinical trials'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Preclinical and clinical studies'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
Strategies to alleviate original antigenic sin,"They found that dendritic cell-activating adjuvants [Bordetella pertussis toxin (PT) or CpG ODN or a squalenebased oil-in-water nanoemulsion (NE)], upon administration during the second viral exposure, completely protected mice from a lethal challenge and enhanced neutralizing-Ab titers against the second virus.",gpt-3.5-turbo,"{'Virology', 'Vaccinology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Vaccinology'}",0.9993055555555554,0.3333333333333333,1.0,1.0,0.9993055555555554
MicroRNA Regulation of Human Protease Genes,"the human protease genes required for influenza virus replication were determined and validated using RNA interference approaches. The genes validated as critical for influenza virus replication were ADAMTS7, CPE, DPP3, MST1, and PRSS12, and pathway analysis showed these genes were in global host cell pathways governing inflammation (NF-kB), cAMP/calcium signaling (CRE/CREB), and apoptosis.",gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccineology'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
"Immunologic and genomic signatures of influenza vaccine response - 2011 (see companion studies SDY63, SDY400, SDY520)",Project 1: Immunologic and genomic signatures of influenza vaccine response - year2 2011,gpt-3.5-turbo,"{'Translational medicine', 'Immunology', 'Preclinical and clinical studies'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Clinical study'},0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Translational medicine', 'Preclinical and clinical studies'}",0.9093253968253969,0.0,1.0,1.0,0.9093253968253969
Vitamin D3 in Systemic Lupus Erythematosus (ALE02),"This is a double-blind, multi-center, placebo controlled, Phase II study designed to assess biologic effects of 12 weeks of vitamin D3 supplementation on patients with well-controlled stable systemic lupus erythematosus who have low serum levels of 25-OH vitamin D and an IFN alpha signature.",gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Human Immune Signature of Mycobacterium Tuberculosis infection. (See SDY1324 for sorted cell gene expression data),The human immune signature of latent Mycobacterium tuberculosis infected patients as well as BCG vaccinated and BCG non-vaccinated individuals was studied by flow cytometry,gpt-3.5-turbo,"{'Virology', 'Bioinformatics', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Bioinformatics', 'Genetics'}",0.7870370370370372,0.0,1.0,1.0,0.7870370370370372
Modified CyTOF Helios Injector Can Improve Data Quality,"Healthy donor PBMCs were collected, CD45 barcoded, pooled and stained with a standard immunophentyping panel. The stained and fixed cells were then divided into multiple aliquots, frozen and distributed to 7 institutions and acquired on 10 separate Helios mass cytometers using both the standard and modified acqusition protocols to evaluate staining quality and inter-instrument variability",gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Genomics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Genomics'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
Cytotoxic T cells targeting spike glycoprotein are associated with hybrid immunity to SARS-CoV-2,Intracellular Cytokine Staining data from SARS-CoV-2-naive and convalescent individuals before and after receiving two-dose mRNA vaccine series. The overall polyfunctionality of CD4 T cell responses to spike glycoprotein were similar between the two groups after mRNA vaccination despite a significant difference in pre-vaccine functional profiles. Convalescent individuals demonstrated greater magnitudes of cytotoxic CD4 T cell responses to both the S1 and S2 domains of spike glycoprotein.,gpt-3.5-turbo,"{'Nutritional science', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Nutritional science'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Comparative Pathology in Ferrets Infected with H1N1 Influenza A Viruses Isolated from Different Hosts,"Virus replication and pulmonary disease pathogenesis in ferrets following intranasal infection with a pandemic influenza virus strain (A/California/4/09 [CA09]), a human seasonal influenza H1N1 virus isolate (A/New Caledonia/20/99 [Ncal99]), a classical swine influenza H1N1 virus isolate (A/Swine/Iowa/15/30[Sw30]), or an avian H1N1 virus isolate (A/Mallard/MN/A108-2355/08 [Mal08]) were compared.",gpt-3.5-turbo,"{'Cell biology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Cell biology'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
IFN-g-independent immune markers of Mycobacterium tuberculosis exposure,"Intracellular Cytokine Staining data for human T cell responses to antigens specific to and not specific to Mycobacterium tuberculosis. COMPASS analysis shows that Ugandan TB resisters exhibit IFNg-independent CD4 T cell responses, suggesting exposure to TB antigens despite negative test results. See the accompanying article published in Nature Medicine, titled ""IFN-g-independent immune markers of Mycobacterium tuberculosis exposure"". https://www.nature.com/articles/s41591-019-0441-3 Code to reproduce the COMPASS analysis is here: https://github.com/seshadrilab/ResisterCOMPASSAnalysis",gpt-3.5-turbo,"{'Data acquisition', 'Biomedical science', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Data acquisition', 'Biomedical science'}",0.8339285714285714,0.0,1.0,1.0,0.8339285714285714
"Dataset from A Phase 3, Observer-Blinded, Randomized, Active-Controlled (Engerix-B), Multicenter Trial of the Safety and Immunogenicity of HEPLISAV in Adults 18 to 70 Years of Age",The purpose of the study is to evaluate the safety and immunogenicity of an investigational hepatitis B vaccine (HEPLISAV) in adults 18 to 70 years of age.,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Project 3 - Optimization experiments DCs DV2 and DV4 - MBAA,Ex vivo infections of human monocyte derived DCs DENV2 (16681) and DENV4 (Indonesia/1976/1036) analysis were performed to study the innate immune profile upon infection usin a multiplexed beads array assay (MBAA) with those viruses and to elucidate the appropiated time points for future experiments.,gpt-3.5-turbo,"{'Virology', 'Infectious disease', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Animal study'}",0.9172619047619048,0.0,1.0,1.0,0.9172619047619048
Vaginal Virome and Preterm Birth (See companion study SDY1206),"Despite decades of attempts to link infectious agents to preterm birth, an exact causative microbe or community of microbes remains elusive. Culture-independent sequencing of vaginal bacterial communities demonstrates community characteristics are associated with preterm birth, although none are specific enough to apply clinically. Viruses are important components of the vaginal microbiome and have dynamic relationships with vaginal bacterial communities. The authors hypothesized that vaginal eukaryotic DNA viral communities either alone or in the context of bacterial communities are associated with preterm birth. In this nested case-control study, serial mid-vaginal swabs were obtained at routine prenatal visits and bacterial communities and eukaryotic viral communities were characterized from extracted DNA. Viral communities were analyzed according to presence/absence of viruses, diversity, dynamics over time, and association with bacterial community data obtained from the same specimens.",gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Genetics'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Licensed BCG formulations differ markedly in innate immune activation,"Bacille Calmette-Gurin (BCG), the live attenuated tuberculosis vaccine, is manufactured under different conditions across the globe generating formulations that may differ in clinical efficacy. Innate immune recognition of live BCG contributes to immunogenicity suggesting that differences in BCG viability may contribute to divergent activity of licensed formulations.",gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Preclinical and clinical studies'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Clinical trials'},0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Preclinical and clinical studies'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
Sublingual Cockroach Safety Study (SCSS) (ICAC-10),"Immunotherapy may help reduce symptoms of allergy and asthma. Problems concerning compliance and adverse events with subcutaneous allergen immunotherapy have generated interest in delivering immunotherapy sublingually (under the tongue). The purpose of this study is to evaluate the safety of a cockroach extract given sublingually to people with perennial (year-round) allergic rhinitis, with or without asthma.",gpt-3.5-turbo,"{'Data visualisation', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Data visualization'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Data visualisation'},0.5,0.0,1.0,1.0,0.5
Reduced BNT162b2 Messenger RNA Vaccine Response in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)-Naive Nursing Home Residents,"After BNT162b2 messenger RNA vaccination, antibody levels to spike, receptor-binding domain, and virus neutralization were examined in 149 nursing home residents and 110 healthcare worker controls. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-naive nursing home residents' median post-second vaccine dose antibody neutralization titers are one-quarter that of SARS-CoV-2-naive healthcare workers.",gpt-3.5-turbo,"{'Virology', 'Gynaecology and obstetrics', 'Infectious disease'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Gynaecology and obstetrics'}",0.9916666666666667,0.0,1.0,1.0,0.9916666666666667
Immunogenicity of the Ad26.COV2.S Vaccine for COVID-19,"Randomized, double-blind, placebo-controlled clinical trial of Ad26.COV2.S on 25 participants. Participants were randomized to receive single-shot and 2-shot vaccine regimens with either 5 X 1010 or 1 X 1011 viral particles of Ad26.COV2.S or placebo in healthy adults 18 to 55 years of age.",gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Investigating the natural killer cell response to acute dengue infection.,Performed a mass cytometry screen of the expression of NK cell receptors and their ligands in acute dengue patients and healthy controls.,gpt-3.5-turbo,"{'Safety sciences', 'Allergy, clinical immunology and immunotherapeutics', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Immunology'}","{'Safety sciences', 'Animal study'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
Systems Biology of 2007 Influenza Vaccination in Humans (See companion studies SDY269 2008 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine),Using a systems biology approach to study innate and adaptive responses to influenza vaccination in humans during the 2007-2008 influenza season.,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
CD4 T cell response to pH1N1 vaccination,Healthy adult human subjects were given monovalent inactivated pH1N1 vaccine and antibody responses were assessed using HAI and MN assays. CD4 T cell reactivity was examined using IFNg Elispot assays to look at reactivity to unique and conserved peptide pools.,gpt-3.5-turbo,"{'Virology', 'Immunology', 'Preclinical and clinical studies'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Clinical trials'},0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Preclinical and clinical studies'}",0.9093253968253969,0.0,1.0,1.0,0.9093253968253969
Reactive oxygen species and TH2 responses to papain,The role of reactive oxygen species in the TH2 response to papain was investigated. The production of ROS by dendritic cells both in vivo and in vitro was examined as an inducer of TH2 differentiation and suppressor of TH1 differentiation. CD70 and IL-12 as effectors of ROS-mediated suppression of TH1 differentiation were investigated as well as the effect of ROS on IL-4-mediated TH2 response.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Data submission, annotation, and curation'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}","{'Data submission, annotation, and curation'}",0.5,0.0,1.0,1.0,0.5
Determining the effect of different adjuvants and doses on the immune response to rPA,"Inbred C57BL/6 female mice (12-15 weeks old) were immunized subcutaneously according to the 7 immunization groups. Serum samples were collected weekly from subgroup A and analyzed serum antibody response using ELISA, Toxin Neutralization Assays, and Surface Plasmon Resonance. Also, brachial and inguinal lymph nodes were harvested from 3 of each group at 10 time points. Lymph nodes from one side of each mouse were used for histology and nodes from the other side were used for phenotyping by flow cytometry.",gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Systems biology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Systems biology'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
Replication and pathogenesis associated with H5N1 H5N2 and H5N3 low-pathogenic avian influenza virus infection in chickens and ducks,"A comparative cohort study examining replication and disease pathogenesis associated with low-pathogenic H5N1, H5N2, or H5N3 avian influenza virus (AIV) infection of chickens and ducks was performed.",gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccineology'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Genotyping and gene function in healthy volunteers,The goal of this study is to create a pool of potential subjects genotyped in a manner identical to that used in the AVA000 trial population.Subjects were screened for exclusion based on history of chronic infectious or immune diseases and to avoid sampling during current acute infection. Genotyping data are available for reference purposes. The subjects agreed to be available to be recalled for sampling of blood for ex vivo studies of differential immunologic function of genetic variants corresponding to those associated with variation in vaccine response.,gpt-3.5-turbo,"{'Cell biology', 'Biochemistry', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Cell biology', 'Biochemistry'}",0.9093253968253969,0.0,1.0,1.0,0.9093253968253969
B-cell Immunity to Influenza (SLVP017) 2013,"Systems biology approach to examine effects of seasonal flu vaccination in adults of different ages on gene expression, cytokine stimulation and serum cytokines with parameters such as immune senescence to uncover new markers and mechanisms behind failure of immune function in many older people.",gpt-3.5-turbo,"{'Data acquisition', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Data acquisition', 'Animal study'}",0.8339285714285714,0.0,1.0,1.0,0.8339285714285714
Platelets attach to lung ILC2 expressing PSGL-1 and influence ILC2 function,Electron microscopy demonstrates that mouse lung ILC2 expressing PSGL-1 have platelets attached to their surface and that platelet depletion reduces lung ILC2 proliferation and Th2 cytokines suggesting ILC2 function is influenced by attachment to platelets,gpt-3.5-turbo,"{'Virology', 'Infectious disease', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Virology', 'Animal study'}",0.9172619047619048,0.0,1.0,1.0,0.9172619047619048
High-throughput quantitation of serological ceramides/dihydroceramides by LC/MS/MS,"The study developed the LC/MS/MS assay to quantify 16 ceramides and 10 dihydroceramides in human serum within 5 minutes. Validated the assay results against a set of quality criteria in FDA guidelines: Lower Limit of Quantitation (1 nM), linearity (R2>0.99), precision (imprecision<15 %), accuracy (inaccuracy<15 %), extraction recovery (>90 %), stability (>85 %), and carryover (<0.01 %). With enhanced sensitivity and specificity, the study established gestation baselines of ceramides and dihydroceramides in pregnancy",gpt-3.5-turbo,"{'Genetic variation', 'Immunology', 'Genomics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Genetic variation', 'Genomics'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
